c formula: 44212 vars, 65950 hard, 880 soft
c cost: 1; core sz: 8; soft sz: 873
c cost: 2; core sz: 1; soft sz: 872
c cost: 3; core sz: 66; soft sz: 807
c cost: 4; core sz: 71; soft sz: 737
c cost: 5; core sz: 91; soft sz: 647
c cost: 6; core sz: 20; soft sz: 629
c cost: 7; core sz: 96; soft sz: 536
c cost: 8; core sz: 1; soft sz: 535
c cost: 9; core sz: 1; soft sz: 534
c cost: 10; core sz: 24; soft sz: 512
c cost: 11; core sz: 26; soft sz: 491
c cost: 12; core sz: 9; soft sz: 488
c cost: 13; core sz: 33; soft sz: 461
c cost: 14; core sz: 21; soft sz: 446
c cost: 15; core sz: 13; soft sz: 441
c cost: 16; core sz: 8; soft sz: 441
c cost: 17; core sz: 10; soft sz: 441
c cost: 18; core sz: 7; soft sz: 442
c cost: 19; core sz: 6; soft sz: 443
c cost: 20; core sz: 9; soft sz: 444
c cost: 21; core sz: 11; soft sz: 445
c cost: 22; core sz: 14; soft sz: 446
c cost: 23; core sz: 6; soft sz: 447
c cost: 24; core sz: 10; soft sz: 448
c cost: 25; core sz: 11; soft sz: 448
